




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5242)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular metabolic process (GO:0044237)	7542	2843	1919.65	+	1.48	2.61E-117	4.13E-113
nitrogen compound metabolic process (GO:0006807)	6886	2605	1752.68	+	1.49	1.03E-102	8.12E-99
primary metabolic process (GO:0044238)	7352	2725	1871.29	+	1.46	3.13E-101	1.65E-97
metabolic process (GO:0008152)	8313	2969	2115.89	+	1.40	4.87E-99	1.92E-95
macromolecule metabolic process (GO:0043170)	6151	2362	1565.60	+	1.51	1.55E-93	4.89E-90
organic substance metabolic process (GO:0071704)	7840	2814	1995.50	+	1.41	3.68E-92	9.70E-89
cellular nitrogen compound metabolic process (GO:0034641)	3395	1515	864.12	+	1.75	4.44E-86	1.00E-82
cellular macromolecule metabolic process (GO:0044260)	4909	1972	1249.48	+	1.58	9.00E-86	1.78E-82
nucleic acid metabolic process (GO:0090304)	2217	1105	564.29	+	1.96	1.28E-79	2.26E-76
nucleobase-containing compound metabolic process (GO:0006139)	2705	1265	688.50	+	1.84	5.08E-79	8.04E-76
heterocycle metabolic process (GO:0046483)	2891	1316	735.84	+	1.79	7.26E-77	1.04E-73
cellular aromatic compound metabolic process (GO:0006725)	2937	1316	747.55	+	1.76	1.92E-73	2.53E-70
organic cyclic compound metabolic process (GO:1901360)	3182	1374	809.91	+	1.70	4.96E-69	6.03E-66
gene expression (GO:0010467)	2117	1002	538.84	+	1.86	1.71E-62	1.93E-59
RNA metabolic process (GO:0016070)	1582	812	402.66	+	2.02	1.27E-60	1.34E-57
G protein-coupled receptor signaling pathway (GO:0007186)	1305	82	332.16	-	.25	5.40E-54	5.33E-51
cellular protein metabolic process (GO:0044267)	3590	1416	913.75	+	1.55	4.64E-52	4.31E-49
organelle organization (GO:0006996)	3567	1401	907.90	+	1.54	1.59E-50	1.40E-47
cellular component organization or biogenesis (GO:0071840)	6006	2092	1528.69	+	1.37	3.21E-49	2.67E-46
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	1	123.70	-	 < 0.01	8.52E-47	6.74E-44
RNA processing (GO:0006396)	930	523	236.71	+	2.21	2.19E-46	1.65E-43
cellular macromolecule biosynthetic process (GO:0034645)	1639	765	417.17	+	1.83	1.08E-44	7.76E-42
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	112.25	-	 < 0.01	2.01E-44	1.38E-41
sensory perception of chemical stimulus (GO:0007606)	543	7	138.21	-	.05	5.70E-44	3.76E-41
organic substance biosynthetic process (GO:1901576)	2803	1131	713.44	+	1.59	1.72E-43	1.09E-40
cellular biosynthetic process (GO:0044249)	2715	1103	691.04	+	1.60	2.42E-43	1.47E-40
biosynthetic process (GO:0009058)	2865	1149	729.22	+	1.58	2.60E-43	1.52E-40
macromolecule biosynthetic process (GO:0009059)	1680	771	427.61	+	1.80	4.42E-43	2.49E-40
detection of chemical stimulus (GO:0009593)	522	6	132.86	-	.05	4.58E-43	2.49E-40
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	721	395.28	+	1.82	2.37E-41	1.25E-38
cellular component biogenesis (GO:0044085)	2754	1100	700.97	+	1.57	1.52E-40	7.75E-38
organonitrogen compound metabolic process (GO:1901564)	5246	1826	1335.25	+	1.37	1.69E-40	8.33E-38
sensory perception of smell (GO:0007608)	468	4	119.12	-	.03	2.19E-40	1.05E-37
protein metabolic process (GO:0019538)	4203	1527	1069.78	+	1.43	4.94E-40	2.30E-37
detection of stimulus involved in sensory perception (GO:0050906)	557	12	141.77	-	.08	7.88E-40	3.56E-37
cellular component organization (GO:0016043)	5783	1950	1471.93	+	1.32	7.79E-37	3.42E-34
mRNA metabolic process (GO:0016071)	697	397	177.41	+	2.24	4.74E-36	2.02E-33
cellular process (GO:0009987)	15495	4354	3943.91	+	1.10	9.53E-35	3.97E-32
cellular macromolecule catabolic process (GO:0044265)	925	472	235.44	+	2.00	6.08E-34	2.47E-31
protein-containing complex subunit organization (GO:0043933)	1605	701	408.52	+	1.72	1.42E-33	5.62E-31
ribonucleoprotein complex biogenesis (GO:0022613)	462	296	117.59	+	2.52	3.26E-33	1.26E-30
macromolecule modification (GO:0043412)	3211	1194	817.29	+	1.46	3.93E-33	1.48E-30
macromolecule catabolic process (GO:0009057)	1058	515	269.29	+	1.91	5.57E-33	2.05E-30
ncRNA metabolic process (GO:0034660)	521	314	132.61	+	2.37	9.11E-32	3.27E-29
sensory perception (GO:0007600)	979	79	249.18	-	.32	9.32E-32	3.27E-29
intracellular transport (GO:0046907)	1464	641	372.63	+	1.72	9.06E-31	3.11E-28
detection of stimulus (GO:0051606)	721	44	183.51	-	.24	1.30E-30	4.37E-28
system process (GO:0003008)	2057	273	523.56	-	.52	3.73E-30	1.23E-27
nervous system process (GO:0050877)	1416	156	360.41	-	.43	6.49E-30	2.09E-27
ncRNA processing (GO:0034470)	436	272	110.97	+	2.45	2.88E-29	9.10E-27
protein localization (GO:0008104)	2063	817	525.09	+	1.56	3.34E-28	1.03E-25
cellular catabolic process (GO:0044248)	1812	736	461.20	+	1.60	8.76E-28	2.66E-25
chromosome organization (GO:0051276)	1064	493	270.82	+	1.82	9.52E-28	2.84E-25
translation (GO:0006412)	387	247	98.50	+	2.51	1.24E-27	3.63E-25
cellular response to stress (GO:0033554)	1741	711	443.13	+	1.60	2.65E-27	7.63E-25
establishment of protein localization (GO:0045184)	1397	601	355.58	+	1.69	2.97E-27	8.39E-25
macromolecule localization (GO:0033036)	2496	940	635.30	+	1.48	8.12E-27	2.25E-24
protein modification process (GO:0036211)	2985	1085	759.77	+	1.43	9.07E-27	2.43E-24
cellular protein modification process (GO:0006464)	2985	1085	759.77	+	1.43	9.07E-27	2.47E-24
regulation of cellular metabolic process (GO:0031323)	6138	1970	1562.29	+	1.26	1.01E-26	2.66E-24
peptide biosynthetic process (GO:0043043)	414	254	105.37	+	2.41	1.12E-26	2.89E-24
cellular component assembly (GO:0022607)	2494	934	634.79	+	1.47	5.28E-26	1.35E-23
protein-containing complex assembly (GO:0065003)	1358	581	345.65	+	1.68	7.12E-26	1.79E-23
cellular localization (GO:0051641)	2985	1077	759.77	+	1.42	1.29E-25	3.19E-23
adaptive immune response (GO:0002250)	658	45	167.48	-	.27	2.25E-25	5.47E-23
Unclassified (UNCLASSIFIED)	2744	432	698.42	-	.62	2.41E-25	5.68E-23
